title,genre,publisher,avg_ratings,na_sales,pal_sales,jp_sales,other_sales,total_sales,release_date,release_year
""Need for Speed: Hot Pursuit"",Racing,""Electronic Arts"",8.2,2.37,2.64,0.03,0.8,5.84,2010-11-16,2010
""Far Cry 5"",Action,""Ubisoft"",7.1,2.58,2.27,0.15,0.79,5.8,2018-02-27,2018
""Borderlands"",Shooter,""2K Games"",8.3,3.66,1.47,0.03,0.62,5.77,2009-10-20,2009
""Tony Hawk's Pro Skater 4"",Sports,""Activision"",9.4,3.58,1.75,0.01,0.42,5.75,2002-10-23,2002
""Need for Speed: Most Wanted (2012)"",Racing,""Electronic Arts"",8.3,1.79,3.03,0.08,0.85,5.75,2012-10-30,2012
""Tekken 2"",Fighting,""Namco"",9.1,2.26,1.89,1.36,0.23,5.74,1996-08-25,1996
""Mass Effect 3"",Role-Playing,""Electronic Arts"",9.2,3.13,1.99,0.06,0.57,5.74,2012-03-06,2012
""Mortal Kombat (2011)"",Fighting,""Warner Bros. Interactive Entertainment"",8.6,4.04,1,NULL,0.7,5.73,2011-04-19,2011
""LEGO Jurassic World"",Action,""Warner Bros. Interactive Entertainment"",NULL,2.41,2.48,0.09,0.7,5.68,2015-06-12,2015
""Cooking Mama"",Simulation,""Majesco"",6.6,3.09,1.92,0.07,0.58,5.66,2006-09-12,2006
""Tomb Raider"",Action,""Eidos Interactive"",7.5,3.25,2.04,0.13,0.24,5.66,1996-11-14,1996
""Madden NFL 12"",Sports,""EA Sports"",7.5,4.98,0.26,NULL,0.39,5.64,2011-08-30,2011
""Saints Row: The Third"",Action,""THQ"",8.3,2.28,2.36,0.25,0.72,5.63,2011-11-15,2011
""Star Wars Battlefront"",Shooter,""LucasArts"",8.1,3.25,1.81,0.03,0.53,5.6,2004-09-20,2004
""NBA 2K12"",Sports,""2K Sports"",8.9,4.54,0.52,0.06,0.42,5.55,2011-10-04,2011
""Fight Night Round 3"",Fighting,""EA Sports"",7.7,3.93,1.09,0.02,0.51,5.55,2006-02-20,2006
""Winning Eleven: Pro Evolution Soccer 2007"",Sports,""Konami"",8.5,0.2,3.12,1.34,0.88,5.53,2007-02-06,2007
""Skylanders Giants"",Misc,""Activision"",NULL,2.99,1.96,NULL,0.59,5.52,2012-10-21,2012
""LEGO Pirates of the Caribbean: The Video Game"",Action,""Disney Interactive Studios"",7.1,2.42,2.43,NULL,0.65,5.51,2011-05-10,2011
""Forza Motorsport 3"",Racing,""Microsoft Game Studios"",9.2,2.99,1.9,0.1,0.51,5.5,2009-10-27,2009
""Sega Superstars Tennis"",Sports,""Sega"",6.8,2.55,2.08,NULL,0.84,5.47,2008-03-18,2008
""NBA 2K11"",Sports,""2K Sports"",8.8,4.65,0.35,0.04,0.42,5.45,2010-10-05,2010
""Minecraft"",Misc,""Microsoft Studios"",NULL,3.23,1.71,NULL,0.49,5.43,2013-06-04,2013
""Fable III"",Role-Playing,""Microsoft Game Studios"",7.4,3.7,1.26,0.05,0.42,5.43,2010-10-26,2010
""Skylanders: Spyro's Adventure"",Action,""Activision"",8,2.65,2.12,NULL,0.61,5.38,2011-10-16,2011
""Need for Speed: Shift"",Racing,""Electronic Arts"",8.2,1.58,2.79,0.06,0.96,5.37,2009-09-15,2009
""Hot Shots Golf"",Sports,""Sony Computer Entertainment"",NULL,0.55,0.37,4.26,0.18,5.35,1998-05-05,1998
""The LEGO Movie Videogame"",Action-Adventure,""Warner Bros. Interactive Entertainment"",6,2.35,2.24,0.12,0.61,5.35,2014-02-07,2014
